"Software","Ring","Quadrant","Description"
Splunk,Employ,Management and Monitoring,"<p>Splunk is software for searching, monitoring, and analyzing machine-generated data via a Web-style interface.</p>"
Spring Boot,Employ,Languages and Frameworks,<p>Spring Boot is an open source Java-based framework</p>
SQL Server Express,Deprecate,Platforms,"<p>SQL Server Express is a free, lightweight, and feature-limited edition of Microsoft's SQL Server relational database management system (RDBMS).</p>"
SQL Server,Employ,Platforms,"<p>SQL Server is a relational database server by Microsoft. IIT has a substantial install base for SQL Server, most of which is to support smaller COTS applications. SQL Server is a licensed product, either by CPU cores on the hosted server or a negotiated named user model.</p>"
bUnit,Employ,Development Tools and Automation,"<p><strong><a href=""https://bunit.egilhansen.com/"">bUnit</a></strong> is a testing library for <a href=""/radar/languages-and-frameworks/blazor"">Blazor</a> that makes it easy to create tests for Blazor components in existing unit testing frameworks such as NUnit, xUnit or MSUnit. It provides a facade around the component allowing it to be run and tested within the familiar unit test paradigm, thus allowing very fast feedback and testing of the component in isolation. If you're developing for Blazor, we recommend that you add bUnit to your list of tools to try out.</p>"
Delta Lake,Explore,Data Management,"<p><strong><a href=""https://delta.io/"">Delta Lake</a></strong> is an <a href=""https://github.com/delta-io/delta"">open-source storage layer</a>, implemented by Databricks, that attempts to bring ACID transactions to big data processing. In our Databricks-enabled <a href=""/radar/techniques/data-lake"">data lake</a> or <a href=""/radar/techniques/data-mesh"">data mesh</a> projects, our teams continue to prefer using Delta Lake storage over the direct use of file storage types such <a href=""https://aws.amazon.com/s3/"">S3</a> or <a href=""https://azure.microsoft.com/en-au/services/storage/data-lake-storage/"">ADLS</a>. Of course this is limited to projects that use storage platforms that support <a href=""https://docs.delta.io/latest/delta-storage.html"">Delta Lake</a> when using <a href=""https://parquet.apache.org/"">Parquet</a> file formats. Delta Lake facilitates concurrent data read/write use cases where file-level transactionality is required. We find Delta Lake's seamless integration with Apache Spark <a href=""https://docs.databricks.com/delta/delta-batch.html"">batch</a> and <a href=""https://docs.databricks.com/delta/delta-streaming.html"">micro-batch</a> APIs greatly helpful, particularly features such as <a href=""https://databricks.com/blog/2019/02/04/introducing-delta-time-travel-for-large-scale-data-lakes.html"">time travel</a> — accessing data at a particular point in time or commit reversion — as well as <a href=""https://databricks.com/blog/2019/09/24/diving-into-delta-lake-schema-enforcement-evolution.html"">schema evolution</a> support on write; though there are some limitations on these features.</p>"
Subversion,Deprecate,Development Tools and Automation,<p>Subversion is an open source version control system used for legacy IIT applications. IIT has transitioned all source code repositories to Bitbucket or Github.</p>
Terraform,Employ,Development Tools and Automation,"<p> Terraform is an infrastructure as code (IaC) tool created by HashiCorp. It enables users to define and provision infrastructure resources and services in a declarative manner, using configuration files. Terraform allows you to manage and automate the deployment and management of infrastructure across various cloud providers, on-premises data centers, and other infrastructure platforms.</p>"
Terragrunt,Employ,Development Tools and Automation,"<p>Terragrunt is an open-source tool developed by Gruntwork that acts as a thin wrapper for Terraform, another popular infrastructure-as-code (IaC) tool. Terragrunt helps users manage and organize their Terraform configurations in a more modular and scalable way, especially in large and complex infrastructure projects.</p>"
TestCafe,Employ,Development Tools and Automation,<p>Test Cafe is a Node. js end-to-end free and open source automation tool which is used to test web applications. </p>
Draw.io,Employ,Languages and Frameworks,<p>test</p>
Apache HTTP Server,Employ,Platforms,<p>The Apache HTTP Server is a free and open-source cross-platform web server software</p>
AWS Cloud Development Kit,Explore,Languages and Frameworks,"<p>The AWS Cloud Development Kit (CDK) is an open-source software development framework provided by Amazon Web Services (AWS). It is designed to help developers define cloud infrastructure in code and provision AWS resources using familiar programming languages, such as TypeScript, Python, Java, and C#/.NET, rather than using traditional infrastructure-as-code (IAC) templates like AWS CloudFormation's JSON or YAML.</p>"
Openshift,Employ,Platforms,"<p>The BC Gov OpenShift Container Platform Service is a multi-tenant container platform that government application development teams may use to develop and deploy modern, cloud native software applications. The service provides development teams with a set of isolated project spaces (namespaces) with associated resource quotas in which they can develop and deploy their applications and tools supporting their development lifecycle. Openshift is the defacto platform for IIT's DevOps initiatives. Migrating to Openshift 4 in fall 2020.</p>"
Sun Java System Web Server,Inactive,Platforms,"<p>This web server software was designed to serve web content, host websites, and handle HTTP requests and responses.</p>"
Unison,Employ,Platforms,<p>Unison is a file synchronization and sharing software program designed to help users keep files and folders up-to-date across multiple devices and locations.</p>
Vue.js,Employ,Languages and Frameworks,"<p>Vue.js is an open-source JavaScript framework for building user interfaces and single-page applications. IIT architecture does not promote a single javascipt framework over another and is as a local development project decision. Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>"
ASP.NET,Employ,Languages and Frameworks,"<p> web development framework developed by Microsoft. It enables developers to build dynamic and interactive web applications, websites, and services using the .NET platform. ASP.NET offers a variety of tools, libraries, and technologies to streamline web development and create robust, scalable, and secure web applications.</p>"
AccuRoute Web Client,Retire,Platforms,<p>Web Interface for AccuRoute Fax.</P>
Weblogic Application Server,Deprecate,Platforms,"<p>WebLogic Server, often referred to as Oracle WebLogic Server, is a widely used enterprise-level application server developed by Oracle Corporation. It is designed to host and manage Java-based enterprise applications, providing a robust, scalable, and secure runtime environment.</p>"
WebSphere,Employ,Platforms,<p>WebSphere application server is a software framework and middleware that hosts Java-based web applications. It is the flagship product within IBM's WebSphere software suite.</p>
.NET,Employ,Languages and Frameworks,"<p>We don't call out every new .NET version in the Radar, but <strong>.NET 5</strong> represents a significant step forward in bringing .NET Core and .NET Framework into a single platform. Organizations should start to develop a strategy to migrate their development environments — a fragmented mix of frameworks depending on the deployment target — to a single version of .NET 5 or 6 when it becomes available. The advantage of this approach will be a common development platform regardless of the intended environment: Windows, Linux, cross-platform mobile devices (via <a href=""/radar/tools/xamarin"">Xamarin</a>) or the browser (using <a href=""/radar/languages-and-frameworks/blazor"">Blazor</a>). While polyglot development will remain the preferred approach for companies with the engineering culture to support it, others will find it more efficient to standardize on a single platform for .NET development. For now, we want to keep this in the Assess ring to see how well the final unified framework performs in .NET 6.</p>"
What's Up Gold,Employ,Management and Monitoring,"<p>WhatsUp Gold provides complete visibility into the status and performance of applications, network devices and servers on-premises and is the primary monitoring system for ITSB applications</p>"
Wildfly (JBoss),Employ,Platforms,"<p>WildFly, formerly known as JBoss AS, or simply JBoss, is an application server authored by JBoss, now developed by Red Hat. WildFly is written in Java and implements the Java Platform, Enterprise Edition specification.</p>"
ISPF,Deprecate,Languages and Frameworks,"<p>With ISPF, you can manipulate source code and data stored on a host and work with interactive applications called dialogs. Programmers can use ISPF to develop and document batch and interactive programs. IBM Z® systems administrators and systems programmers can use ISPF to monitor and control program libraries and communications with IBM z/OS®.</p>"
Common Hosted Form Service,Employ,Data Management,"<p>With this service we can publish the forms through the Common Hosted Form Service and generate a quick response code to share access with respondents. When users complete a form, you can validate responses and export the data.</p>"
POSIT Connect,Employ,Analytics and Business Intelligence,RStudio integrated development environment (IDE) is a set of tools built to help you be more productive with R and Python.
SQL Server Management Studio,,Management and Monitoring,"SQL Server Management Studio (SSMS) is an integrated environment for managing any SQL infrastructure. Use SSMS to access, configure, manage, administer, and develop all components of SQL Server, Azure SQL Database, Azure SQL Managed Instance, SQL Server on Azure VM, and Azure Synapse Analytics. SSMS provides a single comprehensive utility that combines a broad group of graphical tools with many rich script editors to provide access to SQL Server for developers and database administrators of all skill levels."
,Employ,Languages and Frameworks,
Hub,,Development Tools and Automation,
Siebel Innovation Pack 2018,Retire,Platforms,
InsightId,Employ,Data Management,
Siebel Innovation Pack 2015,Retire,Platforms,
Spring Batch,Employ,Languages and Frameworks,
Library Relations Managers,Employ,Management and Monitoring,
Container as a service in AWS,Employ,Platforms,
AWStats,Deprecate,Management and Monitoring,
PowerBi Desktop,Employ,Analytics and Business Intelligence,
